id	stg_wiki_id	text_en
1	1	Particle physics is the study of quarks and their interactions in the formation of particles. What are the basic properties of particles? What are the basic interactions? What are the rules of interaction? Modern particle physics includes more comprehensive theories, including quantum mechanics, relativity, field theory, etc. ... as well as the latest explorations and developments of space and cosmology.
2	2	"When it comes to theoretical physics and experimental physics

Physics, in particular, has a special challenge that is probably the most difficult among the eight sciences. Since the 20th century onwards, physics can silently challenge theoretical physics and experimental physics."
3	3	Neuralink Corporation is a neurotechnology company that develops implantable brain–machine interface (BCI) technology. Headquartered in California, it was co-founded by Elon Musk and seven other scientists and engineers. Neuralink was established in 2016, and first publicly announced in March 2017.
4	4	Since the company's inception, it has recruited several high-profile neuroscientists from various universities. By July 2019, the company had received $158 million in funding, of which $100 million came from Musk and employed around 90 employees. At the same time, Neuralink has taken on the extremely ambitious task of developing "sewing machine-like" technology that can routinely implant thousands of electrodes in a subject's brain, which theoretically could allow humans to merge with artificial intelligence, and is a type of experimental surgical procedure used to treat serious neurological conditions like chronic seizures by embedding up to 1,500 electrodes. Neuralink also expects to start human trials in 2020, and to implant a functional device in paraplegic individuals as early as 2023.
5	5	A neuroscience researcher and various MIT technology reviewers critically commented on Musk's Neuralink presentation, saying that certain scientific claims were "highly speculative".
6	6	"Company
History
Neuralink was established in 2016 by Elon Musk and a team of seven scientists and engineers. The founding team includes experts in neuroscience, electronics, and robotics, among other fields. The "Neuralink" trademark was initially registered by Musk's name in January 2017 and was not disclosed until later."
7	7	In April 2017, Neuralink announced that the purpose of the company is to integrate artificial intelligence into the human brain to prevent being overtaken by artificial intelligence in the future. Musk suggested, he was inspired by Iain M. Banks's "Culture" series of 10 books to address the potential for "neural laces" to merge humans with artificial intelligence.
8	8	Musk considers the integration of AI into the human brain as a critical step to "avoid becoming pets or dinosaurs", in regard to the rapid development of artificial intelligence. Without such integration, Musk fears that humans will be fundamentally left behind in the face of AI's development. Musk argued that the company's initial goal is to assist those with severe brain injuries. He is concerned if there is no movement towards this direction, artificial intelligence will likely advance in a way that overwhelms human capabilities. Musk believes that this technology will offer a "layer of cortical interface that would love and understand you" and "improve the neural link between your brain and your digital self, allowing humans to better keep up with AI".
9	9	World War II, which happened from 1939 to 1945, was a global war involving many of the world's countries, and it is the most widespread war in history, with the greatest number of casualties and the broadest destruction. During that time, more than 70 nations were involved. It resulted in significant casualties, with an estimated death toll of more than 60 million people. The Allies won the war.
10	10	In the context of World War II, the Japanese military operations are also called the Pacific War; Japanese battles in Southeast Asia are referred to as the Southeast Asian War.
11	11	The rule of law is a principle that all countries use to allow people to understand their rights within a certain system. Constitutional and legal processes, as well as people involved in the rule of law, are subjected to the same criticism and investigations. In most modern societies, the rule of law is seen as a higher ethical standard, dictating people's actions, thoughts and relationships. In most contemporary societies nowadays, the rule of law is an important mechanism to balance power and to regulate the most fair and transparent conflicts.
12	12	The foundation of the rule of law is essentially the rule of law itself, its applications encompass constitution, legislation, and civil rights. Legislation is a tool designed to enable and facilitate social harmony.
13	13	Constitutional processes put the rule of law into practice, allowing an environment in which everyone can exercise their rights within a legal context, often referred to as "legal land". These rights are usually manifest in written law. Legal land can protect the weak, but also uphold the public interest. As far back as 350 BC, the Greek scholar Aristotle stated: "Better for the state to be governed by laws than by humans."
14	14	Literature is often seen as a precursor to the rule of law, closely associated with moral standards, and related to the discussion of fairness, all of which will reflect the spirit of the rule of law. Additionally, in some countries, religious texts including Vedas, Bible or the Quran can also be seen as sources containing legal concepts.
15	15	"The essence of the rule of law
Common law and civil law
Common law is a legal system used in many large countries, it is a principle of law that emphasizes the demonstration of justice, or the spirit of the law, to resolve disputes. Common law also has a principle, which is the legal precedent. In countries that use common law, law firms have a relatively small role, the main part of the law and its interpretation is often decided by the judiciary."
16	16	Civil law is a system that uses written laws as the main method to resolve disputes. Its origin is in England, but it is also widely used in most European countries and developed countries. It is also the most common legal system in the United States, although the US government has jurisdictions of common law, but the more common legal spirit is due to the use of written law.
17	17	Civil law also exists in China, its earliest inception was when John Cockburn introduced it to Taiwan during the colonial period.
18	18	"Religious law
Religious law is legal processing based on religious doctrine or religious law. Examples include Jewish Halakha, Islamic Sharia, and Christian Canon Law. Until the 18th century, Sharia was a predominant legal system in the Islamic world. In countries such as Saudi Arabia and Iran, their legal systems are fundamentally based on Sharia."
19	19	Religious law from a specific religion usually has very strict norms, and often has more restrictions from certain perspectives and fields.
20	20	Human rights, strictly speaking, are what we have from birth, they are inherent rights. According to the Universal Declaration, human rights are something that every person has, and they cannot be taken away under any circumstances. Therefore, people who violate this principle, because of their negligence and disregard for human values, are the essence of disgrace.
21	21	We are saying that there is a right that cannot be compromised, that is our inherent dignity. Therefore, no one can take this right away, take it as a bargain, use it to threaten someone or exchange it. It is not something that anyone can manipulate, and nobody can violate it. In other words, a person should not be treated as a tool by others, because nobody has the right to do so, especially not him/her.
22	22	If we talk about the essence of human rights, it's a very broad concept. That is, there are various aspects of human rights, and every aspect of human rights is interconnected and inseparable from each other. Any attempt to violate or infringe upon any one of these rights is unacceptable. Not to mention that there is no consensus on this topic, however, because any existing human rights cannot be violated. This leads to endless debates and discussions on this complex and holistic subject.
23	23	In fact, having rights, in an ideal sense, is sacred and inviolable. These include the right to life, freedom of speech, the right not to be treated as a tool, the right not to be harmed, and the right to privacy.
24	24	Universal Declaration of Human Rights
25	25	The United Nations enacted the "Universal Declaration of Human Rights" in 1948. This is a manifesto on human rights, recognizing each and every nation and individual's right to freedom and respect, guiding various aspects of life and stressing the interconnectedness and interdependence of these rights. The Universal Declaration of Human Rights highlights a key point:
26	26	that the human rights in international law are absolutely fundamental, unassailable, and inherently present from birth.
27	27	The Universal Declaration of Human Rights emphasizes the responsibilities of nations, including the duty to protect the fundamental rights of citizens (such as civil and political rights, as well as other rights).
28	28	The basic idea of the Universal Declaration of Human Rights is divided into two fundamental principles that complement and balance each other:
29	29	The International Covenant on Civil and Political Rights was opened for signature in 1966 and came into force on March 23, 1976.
30	30	Similarly, The International Covenant on Economic, Social and Cultural Rights was opened for signature in 1966 and came into force on January 3, 1976.
31	31	Other important human rights covenants include:
32	32	The Convention relating to the Status of Refugees entered into force in 1951.
33	33	The Convention Against Torture entered into force in 1984.
34	34	The Convention on the Elimination of All Forms of Racial Discrimination came into force in 1969.
35	35	The Convention on the Elimination of All Forms of Discrimination against Women came into force in 1981.
36	36	The United Nations Convention on the Rights of the Child came into force in 1989.
37	37	The Rome Statute of the International Criminal Court came into force in 2002.
38	38	Leonardo di ser Piero da Vinci (April 15, 1452 - May 2, 1519) was a giant in the Italian Renaissance period. He was a scientist, architect, engineer, sculptor, inventor, military engineer, musician, and artist. In particular, his tremendous achievements in art earned him the title of "Renaissance Man". Considered a polymath, he was an individual deeply interested and skilled in multiple disciplines. He is often said to be one of the greatest painters in world history.
39	39	Buddhism is the 3rd largest religion in the world, after Christianity and Islam. Originating in the 6th century BC, Siddhartha Gautama founded Buddhism in India, which is known as the era of enlightenment. Depending on the tradition and interpretation, Buddhism can be divided into Northern Buddhism and Southern Buddhism, and according to some classifications, it can be further divided into Lesser Vehicle Buddhism and Greater Vehicle Buddhism. At present, Buddhism is popular in China, Korea, Japan and many other Asian countries, as well as in some Western countries.
40	40	Buddhist scriptures
41	41	A Quick Guide to Buddhist scriptures
42	42	Since the time of Siddhartha Gautama, Buddhism has been deeply intertwined with Indian society, even up until the time of Emperor Ashoka. Buddhism has already become the religion of India, influencing generations of believers. Furthermore, the compilation of Buddhist texts began quite early. From the 150-year-aged Ajanta Caves, we can trace the spread of Buddhism to all seven continents of the world.
43	43	Despite the spread of Buddhism, it was not completely accepted and integrated into the teachings and practices of Siddhartha Gautama, up until it became an 18-fold sect. For a period of time, it birthed the Greater Vehicle Buddhism.
44	44	According to Emperor Ashoka, Buddhism was divided into two unrelated sects. Southern Buddhism was spread to Thailand, Myanmar, Cambodia and Sri Lanka. Northern Buddhism is further divided into two branches. One branch, known from the Kashyapa Matanga, was spread to Xinjiang, then during the Han Dynasty it entered China, developing into Han Buddhism, and later also spread to Korea, Japan and Vietnam. The other branch already in the Northwestern regions, was known as Central Buddhism, or Lamaism.
45	45	Basic precepts
46	46	Buddhists should adhere to the basic precepts in their daily lives. Although these are not absolutely immutable, they generally don’t change. The basic precepts of Buddhism are "no killing, no stealing, no lying, no drinking".
47	47	"No killing" is a corner stone of Buddhism, as the seven types of killing are accounted to: "killing parents", "killing elders", "killing Brahmins" (Hindu scholars), "killing kings", "harming the body", "creating schism", "shedding the Buddha's blood". These are the most serious crimes, and one need to understand the root causes in order to avoid committing them.
48	48	"No stealing" refers to the prohibition of theft, which should be understood as taking what is not given, not just theft in the legal sense, but also in the broader ethical context. This also includes plagiarism.
49	49	"No lying" fundamentally indicates the need to maintain honesty. It means that deception must be avoided.
50	50	"No drinking" refers to the avoidance of intoxication and confusion, suggesting that one should adopt a sober lifestyle to achieve a clear mind and effectively prevent misconduct, false speech, theft, and other misconduct and negligence.
51	51	Buddhism encourages people to be tolerant, quiet and peaceful, and to have a kind heart. Buddhism advocates mutual respect and equality, as it helps people truly understand and realize the teachings of Buddhism.
52	52	Siddhartha Gautama sought the answer to many questions in order to help people reach enlightenment. Once, he meditated under the Bodhi tree for seven days and nights, after which he came up with a theory: one must understand the causes of suffering in order to alleviate pain and achieve eternal happiness, understanding the true meaning of life, the nature of existence, and how karma works.
53	53	The principles and precepts of Buddhism are widely respected and followed in countries where Buddhism has spread.
54	54	Lesser Vehicle Buddhism explains the earliest teachings of Buddhism, as Siddhartha Gautama was a deeply enlightened man, not a god, but also an ordinary man who understands the meaning of life. Ordinary people, if they want to understand the teachings of Buddhism, must leave their family and join the monastery for a period of time to truly understand and eventually achieve the state of an Arhat. Lesser Vehicle Buddhism emphasizes self-enlightenment, which means self-awakening to the truth of the world, also known as self-liberation.
55	55	Greater Vehicle Buddhism believes that everyone can become a Buddha, and everyone can attain enlightenment and save all beings in the world, that is, achieve Buddhahood. Greater Vehicle Buddhism emphasizes attaining Buddhahood, which means you don't necessarily have to leave your family, as long as you have Buddha in your heart, and you can still achieve Buddhahood under any circumstances.
56	56	Today's technology is different from that of the past, especially in the field of Artificial Intelligence (AI) in the English language literature. Cognitive science, psychology, and computer science all have contributed to AI, contributing to its learning, its intelligence, and its ability to complete a variety of tasks. The future will heavily rely on cognitive science for developing AI.
