sentence_id	main_code	definition_id	sentence_order	nan_sentence	nan_tailo	zh_xc	english_via_gpt4_zh_translation
1	1	1	1	一蕊花	tsi̍t luí hue	一朵花	A flower
2	1	2	1	紅嬰仔哭甲一身軀汗。	Âng-enn-á khàu kah tsi̍t sin-khu kuānn. 	小嬰兒哭得滿身大汗。	The little baby cried until he was drenched in sweat.
5	2	5	1	一流	it-liû		
6	2	6	1	𪜶兩个生做一模一樣。	In nn̄g ê senn-tsò it-bôo-it-iūnn. 	他們兩個長得一模一樣。	They both look exactly the same.
7	2	7	1	一生	it-sing		
8	2	7	2	一向	it hiòng		
9	3	8	1	𪜶兩兄弟仔為著拚生理，就按呢一刀兩斷無來去。	In nn̄g hiann-tī-á uī-tio̍h piànn sing-lí, tō án-ne it-to-lióng-tuān bô lâi-khì. 	他們兄弟倆為了拚生意，就這樣斷絕關係，不相往來。	The two brothers severed their relationship and stopped communicating with each other for the sake of competing in business.
10	4	9	1	小等一下。	Sió-tán--tsi̍t-ē. 	稍等一會兒。	Wait a moment.
11	4	10	1	老母一下死，囡仔就大聲吼。	Lāu-bú tsi̍t-ē sí, gín-á tō tuā-siann háu. 	媽媽一死，小孩子就大聲的哭。	When the mother died, the child cried loudly.
12	4	11	1	氣一下袂講話。	Khì tsi̍t-ē bē kóng-uē. 	氣得說不出話來。	So angry that I can't speak.
13	6	12	1	你一月日趁偌濟錢？	Lí tsi̍t gue̍h-ji̍t thàn guā-tsē tsînn? 	你一個月賺多少錢？	How much money do you make in a month?
14	7	13	1	你毋好一日到暗拋拋走。	Lí m̄-hó tsi̍t-ji̍t-kàu-àm pha-pha-tsáu. 	你不要一天到晚四處亂跑。	Don't run around all day and night.
15	9	14	1	我一世人毋捌做過對不起別人的代誌。	Guá tsi̍t-sì-lâng m̄-bat tsò-kuè tuì-put-khí pa̍t-lâng ê tāi-tsì. 	我一輩子不曾做過對不起他人的事。	I have never done anything to wrong others in my life.
16	10	15	1	買果子的錢，一人愛出一半。	Bé kué-tsí ê tsînn, tsi̍t lâng ài tshut tsi̍t-puànn. 	買水果的錢，一人要出一半。	The money for buying fruits should be split half and half per person.
17	10	16	1	塗跤一半擺仔無拭，袂偌垃圾啦！	Thôo-kha tsi̍t-puànn-pái-á bô tshit, bē guā lah-sap--lah! 	地板一兩次沒擦，不會多髒啦！	The floor won't get too dirty if it's not mopped once or twice!
18	11	17	1	有一半个仔人客真𠢕嫌東嫌西。	Ū tsi̍t-puànn-ê-á lâng-kheh tsin gâu hiâm-tang-hiâm-sai. 	有一兩個客人很會嫌東嫌西。	There are a couple of guests who are very good at finding fault with everything.
19	12	18	1	頭家人真好，我一半日仔無去，伊嘛袂按怎。	Thâu-ke lâng tsin hó, guá tsi̍t-puànn-ji̍t-á bô khì, i mā bē án-tsuánn. 	老闆人真好，我一兩天沒去，他也不會怎樣。	The boss is really nice, even if I don't go for a day or two, he won't mind.
20	13	19	1	物件毋通掖甲一四界。	Mi̍h-kiānn m̄-thang iā kah tsi̍t-sì-kè. 	東西不要撒得滿地都是。	Don't scatter things all over the floor.
21	14	20	1	一旦地動，彼間厝就會倒。	It-tàn tē-tāng, hit king tshù tō ē tó. 	一旦地震，那間房子就會倒。	Once an earthquake occurs, that house will collapse.
22	14	21	1	毀於一旦	huí î it-tàn		
23	15	22	1	做教授是我一生的願望。	Tsò kàu-siū sī guá it-sing ê guān-bōng. 	當教授是我一生的願望。	Being a professor is my lifelong dream.
24	15	23	1	你毋通放蕩過一生。	Lí m̄-thang hòng-tōng kuè it-sing. 	你不要放蕩過一生。	Don't waste your life away.
25	16	24	1	對阮厝到公司，行路一目𥍉仔就到矣。	Tuì guán tshù kàu kong-si, kiânn-lōo tsi̍t-ba̍k-nih-á tō kàu--ah. 	從我家裡到公司，走路只要一眨眼的時間就可以到了。	It only takes a blink of an eye to walk from my house to the company.
26	20	28	1	你講過的話，一定愛會記得。	Lí kóng--kuè ê uē, it-tīng ài ē-kì--tit. 	你說過的話一定要記得。	You must remember what you have said.
27	20	29	1	伊食飯攏無一定的時間。	I tsiah-pn̄g lóng bô it-tīng ê sî-kan. 	他吃飯時間不固定。	His meal times are not fixed.
28	21	30	1	一直向前行，毋免轉斡。	It-ti̍t hiòng tsîng kiânn, m̄-bián tńg-uat. 	一直向前走過去，不用轉彎。	Keep going straight ahead, no need to turn.
29	21	31	1	阿美一直咧掃塗跤，攏無歇睏。	A-bí it-ti̍t teh sàu thôo-kha, lóng bô hioh-khùn. 	阿美一直在掃地，都沒有休息。	Amei has been sweeping the floor non-stop, without taking a break.
30	22	32	1	伊對伊的學生一律攏真嚴格。	I tuì i ê ha̍k-sing it-lu̍t lóng tsin giâm-keh. 	他對他的學生一律都很嚴格。	He is always very strict with his students.
31	23	33	1	伊佮我的看法並無一致。	I kah guá ê khuànn-huat pīng bô it-tì. 	他跟我的看法並不一致。	His views do not coincide with mine.
32	24	34	1	伊一面做工，一面讀冊。	I tsi̍t-bīn tsò-kang, tsi̍t-bīn tha̍k-tsheh. 	他一邊工作，一邊讀書。	He works while studying.
33	24	35	1	一面抹壁雙面光。	Tsi̍t-bīn buah-piah siang-bīn kng. 	用抹刀抹牆壁，不但牆壁光滑，連抹刀也光滑。形容人很會做人，雙方面都能討好。	Smoothing the wall with a trowel not only makes the wall smooth, but also the trowel. This describes a person who is very good at dealing with others, able to please both sides.
35	26	38	1	伊食一屑仔飯爾爾。	I tsia̍h tsi̍t-sut-á pn̄g niā-niā. 	他吃一點點飯而已。	He only ate a little bit of rice.
36	28	40	1	一般人攏真愛面子。	It-puann lâng lóng tsin ài bīn-tsú. 	一般人都很愛面子。	Most people care a lot about face.
37	31	41	1	這擺欲替伊開刀的醫生攏是一粒一的。	Tsit pái beh thè i khui-to ê i-sing lóng sī it-lia̍p-it--ê. 	這次為她開刀的醫生都是最好的。	The doctors who performed surgery on her this time are all the best.
38	31	42	1	阿英佮我是一粒一的好朋友。	A-ing kah guá sī it-lia̍p-it ê hó-pîng-iú. 	阿英和我是最要好的朋友。	Ah Ying and I are the best of friends.
39	33	43	1	伊跤手真緊，穡頭一睏仔就做了矣。	I kha-tshiú tsin kín, sit-thâu tsi̍t-khùn-á tō tsò liáu--ah. 	他的動作真快，工作一下子就做完了。	His movements are really fast, he finished the work in an instant.
40	33	44	1	遮的物件伊做一睏仔共伊食了。	Tsia ê mi̍h-kiānn i tsò tsi̍t-khùn-á kā i tsia̍h-liáu. 	這裡的東西他一口氣把它吃完。	He ate everything here in one breath.
41	34	45	1	眾人的意見伊一概反對。	Tsìng-lâng ê ì-kiàn i it-khài huán-tuì. 	眾人的意見他一概反對。	He opposes everyone's opinions across the board.
42	35	46	1	祝恁一路平安。	Tsiok lín tsi̍t-lōo pîng-an. 	祝福你們一路平安。	Wish you all a safe journey.
43	36	47	1	加減食一寡。	Ke-kiám tsia̍h--tsi̍t-kuá. 	多少吃一點。	Eat a little bit how much.
44	37	48	1	猶有一寡仔物件無整理。	Iáu ū tsi̍t-kuá-á mi̍h-kiānn bô tsíng-lí. 	還有一些東西沒整理。	There are still some things not sorted out.
45	38	49	1	藥仔食落去，到今一對時矣。	Io̍h-á tsia̍h--lo̍h, kàu-tann tsi̍t tuì-sî--ah. 	藥吃下，到現在二十四小時了。	The medicine has been taken, it's been twenty-four hours now.
46	39	50	1	伊來一霎仔久就轉去矣。	I lâi tsi̍t-tiap-á-kú tō tńg--khì--ah. 	他來一下子就回去了。	He came and left in an instant.
47	41	51	1	你才食一點仔物件哪會飽？	Lí tsiah tsia̍h tsi̍t-tiám-á mi̍h-kiānn ná ē pá? 	你才吃一點點東西怎麼會飽？	How can you be full after only eating a little bit of food?
48	45	55	1	甲乙丙丁	kah it piánn ting		
49	45	56	1	乙等	it tíng		
50	46	57	1	甲乙丙丁	kah it piánn ting		
51	46	58	1	出丁	tshut-ting	生男孩子	Give birth to a boy
52	47	60	1	七个人	tshit ê lâng	七個人	Seven people
53	47	61	1	七老八老	tshit-lāu-peh-lāu	強調很老	Emphasize very old
54	47	61	2	七除八扣	tshit-tû-peh-khàu	計算時一再折扣，自總數中盡量減除。	Keep discounting when calculating, try to subtract as much as possible from the total.
55	48	64	1	十喙九尻川。	Tsa̍p tshuì káu kha-tshng. 	形容人多嘴雜。	Describing someone as talkative and messy.
56	49	65	1	三教九流	sam-kàu kiú-liû		
57	50	66	1	飯食了才食果子。	Pn̄g tsia̍h-liáu tsiah tsia̍h kué-tsí. 	飯吃完再吃水果。	Eat your meal before having fruit.
58	50	67	1	了解	liáu-kái		
59	50	68	1	了力	liáu la̍t	白費力氣	Waste of effort
60	50	68	2	了工	liáu-kang	白費功夫	Waste of effort
61	50	69	1	了錢生理無人做。	Liáu-tsînn sing-lí bô lâng tsò. 	賠錢生意沒人做。	No one does business at a loss.
62	50	70	1	講了真清楚。	Kóng liáu tsin tshing-tshó. 	說得很清楚。	Spoken very clearly.
63	50	70	2	洗了無清氣。	Sé liáu bô tshing-khì. 	洗得不乾淨。	Not washed clean.
64	51	71	1	第二	tē-jī		
65	52	72	1	人類	jîn-luī		
66	52	73	1	人情	jîn-tsîng		
67	52	73	2	人事	jîn-sū		
68	52	74	1	聖人	sìng-jîn		
69	52	74	2	軍人	kun-jîn		
70	53	75	1	做牛著拖，做人著磨。	Tsò gû tio̍h thua, tsò-lâng tio̍h buâ. 	做牛得要拖犁耕田，做人得受生活的折磨。	As a cow must plow the field, a person must endure the hardships of life.
71	53	76	1	莫共人講！	Mài kā lâng kóng! 	不要跟別人說！	Don't tell anyone!
72	53	76	2	予人看無	hōo lâng khuànn-bô	讓別人瞧不起	Let others look down on you
73	53	77	1	好人	hó lâng		
74	53	77	2	讀冊人	tha̍k-tsheh-lâng	讀書人	Scholar
75	53	77	3	中人	tiong-lâng	仲介者	Mediator
76	53	78	1	人毋管啦！	Lâng m̄-kuán--lah! 	我不管啦！	I don't care anymore!
77	53	79	1	伊人真好。	I lâng tsin hó. 	他待人很好。	He treats people very well.
78	53	79	2	人無爽快	lâng bô sóng-khuài	身體不舒服	Not feeling well
79	54	80	1	入去	ji̍p--khì	進去	Enter
80	54	80	2	入來	ji̍p--lâi	進來	Come in
81	54	81	1	入被	ji̍p phuē	把被子裝進被套裡	Put the quilt into the duvet cover.
82	54	82	1	收入	siu-ji̍p		
83	54	82	2	入數	ji̍p siàu	入帳	Credit to account
84	55	83	1	三八婦女節	sam pat hū-lí tseh	三八婦女節	International Women's Day
85	56	84	1	八个人	peh ê lâng	八個人	Eight people
86	57	85	1	鉸刀	ka-to	剪刀	Scissors
87	57	86	1	伊昨暝去予人刣幾若刀。	I tsa-mê khì hōo lâng thâi kuí-nā to. 	他昨晚被人砍了好幾刀。	He was stabbed several times last night.
88	57	87	1	伊欲買一刀紙。	I beh bé tsi̍t to tsuá. 	他想買一刀紙。	He wants to buy a ream of paper.
89	58	88	1	𪜶頭家真𠢕共人刁。	In thâu-ke tsin gâu kā lâng tiau. 	他們的老闆很會為難人。	Their boss is very good at making things difficult for people.
90	58	89	1	刁故意	tiau-kòo-ì	故意	Intentionally
91	58	89	2	刁工	tiau-kang	故意	Deliberately
92	59	90	1	無力	bô la̍t	沒有力氣	No strength
93	59	90	2	氣力	khuì-la̍t	力氣	strength
94	60	91	1	力量	li̍k-liōng		
95	60	92	1	財力	tsâi-li̍k		
96	60	92	2	兵力	ping-li̍k		
97	61	93	1	十个人	tsa̍p ê lâng	十個人	Ten people
98	61	94	1	十喙九尻川	tsa̍p-tshuì káu kha-tshng	人多嘴雜	Too many people talk too much.
100	62	95	1	十五音	si̍p-ngóo-im	十五音	Fifteen Sounds
101	62	96	1	十全十美	si̍p-tsuân-si̍p-bí	十分的完美	Perfectly perfect
102	63	97	1	卜看覓咧！	Poh khuànn-māi--leh! 	試試看囉！	Give it a try!
103	64	98	1	我來卜一下仔卦咧。	Guá lâi pok tsi̍t-ē-á kuà--leh. 	我來卜一下卦。	I'm going to cast a divination.
104	65	99	1	食又欲食，穡又毋做，真害！	Tsia̍h iū beh tsia̍h, sit iū m̄ tsò, tsin hāi! 	吃又要吃，工作又不肯做，真糟糕！	You want to eat but you don't want to work, how terrible!
105	67	101	1	鳥鼠予貓掠了了矣。	Niáu-tshí hōo niau lia̍h-liáu-liáu--ah. 	老鼠被貓抓光光了。	The mice were completely caught by the cat.
106	68	102	1	這个袂使，彼个毋通，全你的意見了了。	Tsit ê bē-sái, hit ê m̄-thang, tsuân lí ê ì-kiàn--liáu-liáu. 	這個不行，那個不可以，你的意見真多。	This can't be done, that's not allowed, you have so many opinions.
107	70	104	1	十二分的感謝	tsa̍p-jī-hun ê kám-siā		
108	71	106	1	時機誠䆀，害我十二生相變透透嘛變無撚。	Sî-ki tsiânn bái, hāi guá tsa̍p-jī senn-siùnn piàn-thàu-thàu mā piàn-bô-lián. 	時機很不好，害我各種行業都做過了也沒輒。比喻一直換工作都沒出路。	The timing is really bad, causing me to have tried all sorts of jobs but to no avail. It's like constantly changing jobs but there's no way out.
109	73	108	1	二九暝家家戶戶攏咧圍爐。	Jī-káu-mê ke-ke-hōo-hōo lóng leh uî-lôo. 	農曆新年除夕晚上家家戶戶都在圍爐。	On the eve of the Lunar New Year, every household is gathered around the stove.
110	75	110	1	查某囡仔十八變。	Tsa-bóo-gín-á tsa̍p-peh-piàn. 	女大十八變。	Girls change a lot when they grow up.
111	77	112	1	了工閣蝕本。	Liáu-kang koh si̍h-pún. 	白費工夫又賠錢。比喻賠了夫人又折兵。	Waste of effort and loss of money. It is analogous to losing both the wife and the soldiers.
112	78	113	1	割稻仔的人工愈濟就愈緊割了。	Kuah-tiū-á ê lâng-kang jú tsē tō jú kín kuah-liáu. 	越多人割稻就越快完工。	The more people there are to harvest the rice, the quicker the job will be done.
113	78	114	1	臺灣現此時的人工真貴。	Tâi-uân hiān-tshú-sî ê lâng-kang tsin kuì. 	臺灣現在的工資很貴。	The wages in Taiwan are very expensive now.
114	79	115	1	恁囝婿的人才生做袂䆀。	Lín kiánn-sài ê lâng-tsâi senn-tsò bē-bái. 	你女婿外表長得不錯。	Your son-in-law looks pretty good.
115	80	116	1	入土為安	ji̍p-thóo uî an		
116	81	117	1	我刁工來看你。	Guá thiau-kang lâi khuànn--lí. 	我專程來看你。	I came specifically to see you.
117	81	118	1	你愈講，伊愈刁工。	Lí jú kóng, i jú thiau-kang. 	你越說，他越是故意和你唱反調。	The more you talk, the more he deliberately contradicts you.
118	82	119	1	算命的講，人中長的人較長歲壽。	Sǹg-miā--ê kóng, jîn-tiong tn̂g ê lâng khah tn̂g-huè-siū. 	算命的說，人中長的人壽命比較長。	The fortune teller said that people with longer philtrums tend to have longer lives.
119	83	120	1	人有七孔。	Lâng ū tshit-khóng. 	人有七竅。	Humans have seven orifices.
120	85	122	1	伊是二手，毋是頭手。	I sī jī-tshiú, m̄ sī thâu-tshiú. 	他是助手，不是師傅。	He is an assistant, not a master.
121	85	123	1	物件買二手的較俗。	Mi̍h-kiānn bé jī-tshiú--ê khah sio̍k. 	東西買中古的比較便宜。	Buying second-hand items is cheaper.
122	87	125	1	八仙綵	pat-sian-tshái	繡有八仙的紅彩，在喜慶時掛在門楣上	A red banner embroidered with the Eight Immortals is hung on the lintel during celebrations.
123	91	129	1	你莫共伊刁古董。	Lí mài kā i tiau-kóo-tóng. 	你不要為難他。	Don't make things difficult for him.
124	92	130	1	伊一禮拜至少愛賣三百个，才袂了本。	I tsi̍t lé-pài tsì-tsió ài bē sann-pah ê, tsiah bē liáu-pún. 	他一星期至少要賣三百個，才不會虧本。	He needs to sell at least three hundred a week, so as not to lose money.
125	94	132	1	人生短短仔	jîn-sing té-té--ah	人生苦短	Life is short.
126	95	133	1	刀石提來磨刀仔。	To-tsio̍h the̍h-lâi buâ to-á. 	磨刀石拿來磨刀子。	The whetstone is used to sharpen the knife.
127	96	134	1	媠，媠無十全；䆀，䆀無加圇。	Suí, suí bô tsa̍p-tsn̂g; bái, bái bô ka-nn̂g. 	人不會是十全十美的。	No one is perfect.
128	97	135	1	十全大補湯	si̍p-tsuân tāi póo thng	合人參、白朮、茯苓、甘草、熟地、白芍、當歸、川芎、黃茋、肉桂等十種藥材的補藥。	A tonic medicine made from ten kinds of medicinal materials including ginseng, Atractylodes macrocephala, Poria cocos, licorice, Rehmannia glutinosa, Paeonia lactiflora, Angelica sinensis, Ligusticum chuanxiong, Scutellaria baicalensis, and cinnamon.
129	97	136	1	十全十美	si̍p-tsuân-si̍p-bí		
