id	manual_topic	link	text_nan_poj
1	Physics	https://zh-min-nan.wikipedia.org/wiki/Bu%CC%8Dt-l%C3%AD-ha%CC%8Dk	Bu̍t-lí-ha̍k (物理學)sī gián-kiù ùi quark kaù kah ú-tiū chéng-kô chū-jiân ê kho-ha̍k. Pau-hâm ú-tiū ê ki-pún sêng-hun sī siáⁿ? In ū siáⁿ-mih ki-pún saⁿ-chok-iōng (fundamental interaction)? Chok-iōng ê kiat-kó siáⁿ khoán? Hiān-tāi bu̍t-lí-ha̍k ū-tang-sî-á khah chùn-būn lêng-liōng (energy), ūn-tōng-liōng (momentum), tiān-hō (electric charge), tông-ūi (parity), ... chiah-ê sèng-chit ê tùi-thīn tēng-lu̍t (laws of symmetry) kap pó-chûn tēng-lu̍t (conservation law).
2	Physics	https://zh-min-nan.wikipedia.org/wiki/Bu%CC%8Dt-l%C3%AD-ha%CC%8Dk	"Lí-lūn bu̍t-lí kap si̍t-giām bu̍t-lí

Bu̍t-lí-ha̍k lāi, ū chi̍t-chióng khu-hun, sī pa̍t-chióng kho-ha̍k khah bô--ê. Chū 20 sè-kí khai-sí, bu̍t-lí-ha̍k ē-sái kóng chiām-chiām khu-hun chò lí-lūn bu̍t-lí kap si̍t-giām bu̍t-lí chit nn̄g-pêng."
3	Neurallink	https://zh-min-nan.wikipedia.org/wiki/Neuralink	Neuralink kong-si [en] (ing-gú: Neuralink Corporation) sī tsi̍t-king khai-huat si̍t-ji̍p-sik [en] náu-ki kài-bīn [en] (BCI) ê sîn-king ki-su̍t [en] kong-si. Tsit-king kong-si ê tsóng-pōo khiā-tī California tsiu, iû Elon Musk kah iû 7-miâ kho-ha̍k-ka hām kang-tîng-su tsoo-sîng ê tshòng-sí thuân-tuī sóo tshòng-li̍p.[5][1][6][7] Neuralink tī 2016-nî thui-tshut, pīng-tshiánn tī 2017-nî 3-gue̍h thâu-tsi̍t-pái kong-khai pò-tō.[1][8]
4	Neurallink	https://zh-min-nan.wikipedia.org/wiki/Neuralink	Tsū kong-si sîng-li̍p í-lâi, tsit-king kong-si phing-tshiánn tsiânn-tsē ê uì kok tāi-ha̍k lâi ê ti-miâ sîn-king kho-ha̍k-ka.[9] Kàu 2019-nî 7-gue̍h, kong-si hi̍k-tik 1.58 ik bi-guân ê tsu-kim (kî-tiong 1 ik bí-guân uì Musk lâi ê),pīng-tshiánn kòo-iōng 90-miâ ê guân-kang.[10] Hit-tong-sî, Neuralink suan-pòo in tng-teh gián-kiù tsi̍t-tsióng "luī-sū ê tshâi-hông-tshia á" ê siat-pī, ē-tàng kā hui-siông iù (khuah-tōo uî 4 tsì 6 μm [11]) ê suànn si̍t-ji̍p tuā-náu, pīng-tshiánn tián-sī tsi̍t-ê uì si̍t-giām-sik to̍k-tshú sìn-sit ê hē-thóng tuā-tsiah tshí-á thong-kuè 1,500 ê tiān-ki̍k. Neurallink pat ū-kè tī 2020-nî khai-sí tuì jîn-luī tsìn-hîng si̍t-giām;[10] M̄-kuh āu--lâi kā tsit-ê ū-tshik sua-kàu 2023-nî.[12]
5	Neurallink	https://zh-min-nan.wikipedia.org/wiki/Neuralink	Ū tsi̍t-kuá-á sîn-king kho-ha̍k-ka kah tshut-pán-bu̍t, pau-kuat MIT ki-su̍t phîng-lūn, it-ti̍t teh phue-phîng Muskvkuan-î Neuralink ê kóng-huat, kóng ū tsi̍t-kuá-á ê ki-su̍t sîng-lo̍k sī "ko-tōo thui-tshik"[13][14]
6	Neurallink	https://zh-min-nan.wikipedia.org/wiki/Neuralink	"Kong-si
Li̍k-sú
Neuralink tī 2016-nî iû Elon Musk kah tsi̍t-ê 7-miâ kho-ha̍k-ka hām kang-tîng-su tsoo-sîng ê tshòng-sí thuân-tuī tshòng-li̍p.[5][15][16] Siōng-thâu-á phing-iōng ê thuân-tuī iû sîn-king kho-ha̍k, sing-bu̍t huà-ha̍k kah ke-khì-lâng ha̍k tíng-tíng líng-i̍k ê tsuan-ka sóo tsoo-sîng ê.[6] "Neuralink" siong-piau tī 2017-nî 1-gue̍h uì Musk tsi-tsîng ê sóo-iú-tsiá tshiú-thâu lâi bē-tio̍h.[5][17]"
7	Neurallink	https://zh-min-nan.wikipedia.org/wiki/Neuralink	Tī 2017-nî 4-gue̍h,Neuralink suan-pòo Nurallink ê bo̍k-piau sī teh té-kî lāi tsè-tsō tī-liâu giâm-tiōng náu-pōo tsi̍k-pēnn ê siat-pī tsuè-tsiong ê bo̍k-piau sī jîn-luī tsing-kiông, ū-tang-sî-á kiò-tsò tshiau-jîn tsú-gī.[18][6][19] Musk pat piáu-sī, i tuì tsit-ê siūnn-huat ê hìng-tshù pōo-hūn guân-tsū Iain M. Banks ê 10 pōo sió-suat hē-lia̍t "Bûn-huà (The Culture)" lāi-té sóo hi-kòo tang-tiong "sîn-king hue-pinn" ê kho-huàn kài-liām.[19][20]
8	Neurallink	https://zh-min-nan.wikipedia.org/wiki/Neuralink	Musk kā sîn-king hē-tuà tīng-gī tsò "phuê-tsit tíng-kuân ê sòo-uī tsân", tse bô-it-tīng ì-bī tio̍h kóng-huàn ê tshiú-su̍t tshah-ji̍p, m̄-kuh lí-sióng tsîng-hóng tsi-hā sī thong-kuè tsīng-me̍h hi̍k-tsiá tōng-me̍h si̍t-ji̍p.[21] Musk kóng, tn̂g-kî bo̍k-piau sī si̍t-hiān "kah jîn-kang tì-lîng ê kiōng-sing".[22] Musk jīn-uî, ná bô lâi-kā khòng-tsè, jîn-kang tì-lîng tio̍h-beh tuì jîn-luī kòo-sîng sing-tsûn ui-hia̍p.[22][23] Musk jīn-uî tsit-ê siat-pī kā "luī-sū sī-pîn sńg-ī, tō tshin-tshiūnn pó-tsûn ê sńg-ī tsîng-hóng, tsū-án-ne lín tō ē-tàngteh kî-tiong hue-ho̍k hām siōng-thuân lín ê tsuè-āu tsōng-thài" kah "kái-kuat náu sún-siong hi̍k-tsiá liông-kut sún-siong pīng-tshiánn mí-póo bóo-mí-lâng sit-khì jīm-hô lîng-li̍k ê tsi̍t-ê sîn-king liân-kiat tsing-phìnn".[24]
9	World War II	https://zh-min-nan.wikipedia.org/wiki/T%C4%93-j%C4%AB-chh%C3%B9_S%C3%A8-k%C3%A0i_T%C4%81i-chi%C3%A0n	Tē-jī-chhù Sè-kài Tāi-chiàn (Hàn-jī: 第二次世界大戰, kán-lio̍k: Jī-chhù Tāi-chiàn, Jī-chiàn) sī 1939 nî kàu 1945 nî, Tông-bêng-kok kap Chhia-sim-kok chi-kan ê choân-kiû chiàn-cheng, sī jîn-lūi le̍k-sú chêng kah taⁿ kui-bô͘ siōng kài tōa, phò-hāi siōng chīn-pōng, sí-siong siōng kài chhi-chhám ê sî-kî. Tng jia̍t ê sî, bat khan-siap tio̍h 70 thóng ê kok-ka. Lio̍k-hái-khong to ū teh kau-chiàn, bóe-chhiú ê sí-bông jîn-sò͘ khah-chē 6-chheng-bān lâng. Tông-bêng-kun chiàn iâⁿ.
10	World War II	https://zh-min-nan.wikipedia.org/wiki/T%C4%93-j%C4%AB-chh%C3%B9_S%C3%A8-k%C3%A0i_T%C4%81i-chi%C3%A0n	Jī-chhù Tāi-chiàn kî-tiong, Ji̍t-pún hoat-khí ê chhim-lio̍k mā kiò Tāi Tang-a Chiàn-cheng; Ji̍t-pún tī ê Thài-pêng-iûⁿ ê chiàn-tiûⁿ mā kiò Thài-pêng-iûⁿ Chiàn-cheng.
