id	stg_wiki_id	text_nan_poj
1	1	Bu̍t-lí-ha̍k sī gián-kiù ùi quark kaù kah ú-tiū chéng-kô chū-jiân ê kho-ha̍k. Pau-hâm ú-tiū ê ki-pún sêng-hun sī siáⁿ? In ū siáⁿ-mih ki-pún saⁿ-chok-iōng? Chok-iōng ê kiat-kó siáⁿ khoán? Hiān-tāi bu̍t-lí-ha̍k ū-tang-sî-á khah chùn-būn lêng-liōng, ūn-tōng-liōng, tiān-hō, tông-ūi, ... chiah-ê sèng-chit ê tùi-thīn tēng-lu̍t kap pó-chûn tēng-lu̍t.
2	2	"Lí-lūn bu̍t-lí kap si̍t-giām bu̍t-lí

Bu̍t-lí-ha̍k lāi, ū chi̍t-chióng khu-hun, sī pa̍t-chióng kho-ha̍k khah bô--ê. Chū 20 sè-kí khai-sí, bu̍t-lí-ha̍k ē-sái kóng chiām-chiām khu-hun chò lí-lūn bu̍t-lí kap si̍t-giām bu̍t-lí chit nn̄g-pêng."
3	3	Neuralink kong-si sī tsi̍t-king khai-huat si̍t-ji̍p-sik náu-ki kài-bīn (BCI) ê sîn-king ki-su̍t kong-si. Tsit-king kong-si ê tsóng-pōo khiā-tī California tsiu, iû Elon Musk kah iû 7-miâ kho-ha̍k-ka hām kang-tîng-su tsoo-sîng ê tshòng-sí thuân-tuī sóo tshòng-li̍p. Neuralink tī 2016-nî thui-tshut, pīng-tshiánn tī 2017-nî 3-gue̍h thâu-tsi̍t-pái kong-khai pò-tō.
4	4	Tsū kong-si sîng-li̍p í-lâi, tsit-king kong-si phing-tshiánn tsiânn-tsē ê uì kok tāi-ha̍k lâi ê ti-miâ sîn-king kho-ha̍k-ka. Kàu 2019-nî 7-gue̍h, kong-si hi̍k-tik 1.58 ik bi-guân ê tsu-kim, pīng-tshiánn kòo-iōng 90-miâ ê guân-kang. Hit-tong-sî, Neuralink suan-pòo in tng-teh gián-kiù tsi̍t-tsióng "luī-sū ê tshâi-hông-tshia á" ê siat-pī, ē-tàng kā hui-siông iù ê suànn si̍t-ji̍p tuā-náu, pīng-tshiánn tián-sī tsi̍t-ê uì si̍t-giām-sik to̍k-tshú sìn-sit ê hē-thóng tuā-tsiah tshí-á thong-kuè 1,500 ê tiān-ki̍k. Neurallink pat ū-kè tī 2020-nî khai-sí tuì jîn-luī tsìn-hîng si̍t-giām; M̄-kuh āu--lâi kā tsit-ê ū-tshik sua-kàu 2023-nî.
5	5	Ū tsi̍t-kuá-á sîn-king kho-ha̍k-ka kah tshut-pán-bu̍t, pau-kuat MIT ki-su̍t phîng-lūn, it-ti̍t teh phue-phîng Muskvkuan-î Neuralink ê kóng-huat, kóng ū tsi̍t-kuá-á ê ki-su̍t sîng-lo̍k sī "ko-tōo thui-tshik"
6	6	"Kong-si
Li̍k-sú
Neuralink tī 2016-nî iû Elon Musk kah tsi̍t-ê 7-miâ kho-ha̍k-ka hām kang-tîng-su tsoo-sîng ê tshòng-sí thuân-tuī tshòng-li̍p. Siōng-thâu-á phing-iōng ê thuân-tuī iû sîn-king kho-ha̍k, sing-bu̍t huà-ha̍k kah ke-khì-lâng ha̍k tíng-tíng líng-i̍k ê tsuan-ka sóo tsoo-sîng ê. "Neuralink" siong-piau tī 2017-nî 1-gue̍h uì Musk tsi-tsîng ê sóo-iú-tsiá tshiú-thâu lâi bē-tio̍h."
7	7	Tī 2017-nî 4-gue̍h,Neuralink suan-pòo Nurallink ê bo̍k-piau sī teh té-kî lāi tsè-tsō tī-liâu giâm-tiōng náu-pōo tsi̍k-pēnn ê siat-pī tsuè-tsiong ê bo̍k-piau sī jîn-luī tsing-kiông, ū-tang-sî-á kiò-tsò tshiau-jîn tsú-gī. Musk pat piáu-sī, i tuì tsit-ê siūnn-huat ê hìng-tshù pōo-hūn guân-tsū Iain M. Banks ê 10 pōo sió-suat hē-lia̍t "Bûn-huà" lāi-té sóo hi-kòo tang-tiong "sîn-king hue-pinn" ê kho-huàn kài-liām.
8	8	Musk kā sîn-king hē-tuà tīng-gī tsò "phuê-tsit tíng-kuân ê sòo-uī tsân", tse bô-it-tīng ì-bī tio̍h kóng-huàn ê tshiú-su̍t tshah-ji̍p, m̄-kuh lí-sióng tsîng-hóng tsi-hā sī thong-kuè tsīng-me̍h hi̍k-tsiá tōng-me̍h si̍t-ji̍p. Musk kóng, tn̂g-kî bo̍k-piau sī si̍t-hiān "kah jîn-kang tì-lîng ê kiōng-sing". Musk jīn-uî, ná bô lâi-kā khòng-tsè, jîn-kang tì-lîng tio̍h-beh tuì jîn-luī kòo-sîng sing-tsûn ui-hia̍p. Musk jīn-uî tsit-ê siat-pī kā "luī-sū sī-pîn sńg-ī, tō tshin-tshiūnn pó-tsûn ê sńg-ī tsîng-hóng, tsū-án-ne lín tō ē-tàngteh kî-tiong hue-ho̍k hām siōng-thuân lín ê tsuè-āu tsōng-thài" kah "kái-kuat náu sún-siong hi̍k-tsiá liông-kut sún-siong pīng-tshiánn mí-póo bóo-mí-lâng sit-khì jīm-hô lîng-li̍k ê tsi̍t-ê sîn-king liân-kiat tsing-phìnn".
9	9	Tē-jī-chhù Sè-kài Tāi-chiàn sī 1939 nî kàu 1945 nî, Tông-bêng-kok kap Chhia-sim-kok chi-kan ê choân-kiû chiàn-cheng, sī jîn-lūi le̍k-sú chêng kah taⁿ kui-bô͘ siōng kài tōa, phò-hāi siōng chīn-pōng, sí-siong siōng kài chhi-chhám ê sî-kî. Tng jia̍t ê sî, bat khan-siap tio̍h 70 thóng ê kok-ka. Lio̍k-hái-khong to ū teh kau-chiàn, bóe-chhiú ê sí-bông jîn-sò͘ khah-chē 6-chheng-bān lâng. Tông-bêng-kun chiàn iâⁿ.
10	10	Jī-chhù Tāi-chiàn kî-tiong, Ji̍t-pún hoat-khí ê chhim-lio̍k mā kiò Tāi Tang-a Chiàn-cheng; Ji̍t-pún tī ê Thài-pêng-iûⁿ ê chiàn-tiûⁿ mā kiò Thài-pêng-iûⁿ Chiàn-cheng.
